  954.56  818.07  766.57  259.01  631.78  222.56  589.92  841.92
  951.70  816.53  761.69  260.93  635.42  228.34  594.43  838.87
  948.91  815.24  757.25  263.38  638.93  234.26  598.86  836.11
  946.21  814.18  753.23  266.31  642.32  240.30  603.19  833.64
  943.59  813.34  749.61  269.68  645.59  246.44  607.40  831.45
  941.04  812.68  746.37  273.45  648.73  252.67  611.51  829.53
  938.56  812.21  743.49  277.55  651.76  258.96  615.50  827.86
  936.15  811.89  740.94  281.95  654.67  265.29  619.38  826.44
  933.80  811.73  738.71  286.61  657.48  271.66  623.14  825.24
  931.51  811.70  736.76  291.48  660.18  278.05  626.79  824.26
  929.28  811.79  735.07  296.53  662.80  284.44  630.34  823.46
  927.11  811.99  733.63  301.73  665.33  290.84  633.78  822.85
  925.00  812.29  732.42  307.05  667.78  297.22  637.12  822.40
  922.93  812.68  731.41  312.47  670.17  303.58  640.37  822.10
  920.92  813.15  730.60  317.97  672.49  309.92  643.54  821.94
  918.97  813.70  729.96  323.53  674.75  316.22  646.62  821.90
  917.06  814.31  729.47  329.13  676.96  322.49  649.62  821.98
  915.20  814.99  729.14  334.76  679.12  328.71  652.55  822.17
  913.40  815.72  728.94  340.41  681.24  334.89  655.42  822.45
  911.64  816.50  728.87  346.06  683.33  341.02  658.22  822.81
  909.93  817.33  728.91  351.71  685.38  347.10  660.97  823.26
  908.27  818.21  729.05  357.35  687.40  353.13  663.66  823.78
  906.66  819.12  729.30  362.98  689.40  359.10  666.30  824.36
  905.09  820.06  729.63  368.58  691.37  365.02  668.89  825.01
  903.58  821.04  730.05  374.16  693.32  370.88  671.44  825.71
  902.11  822.05  730.55  379.70  695.26  376.68  673.95  826.46
  900.69  823.08  731.12  385.21  697.17  382.43  676.42  827.26
  899.31  824.14  731.76  390.68  699.07  388.11  678.85  828.10
  897.99  825.23  732.45  396.12  700.96  393.74  681.25  828.98
  896.71  826.33  733.21  401.50  702.84  399.30  683.62  829.89
  895.47  827.45  734.02  406.85  704.70  404.81  685.96  830.84
  894.28  828.59  734.88  412.14  706.56  410.25  688.28  831.81
  893.14  829.74  735.78  417.39  708.40  415.64  690.56  832.82
  892.04  830.91  736.73  422.59  710.24  420.96  692.83  833.84
  890.99  832.09  737.72  427.74  712.07  426.22  695.07  834.89
  889.98  833.29  738.75  432.84  713.90  431.43  697.29  835.96
  889.02  834.49  739.81  437.89  715.72  436.57  699.48  837.05
  888.09  835.71  740.91  442.89  717.53  441.66  701.66  838.16
  887.22  836.93  742.04  447.83  719.34  446.69  703.82  839.28
  886.38  838.16  743.19  452.73  721.14  451.66  705.97  840.41
  885.59  839.40  744.37  457.57  722.94  456.57  708.09  841.56
  884.84  840.64  745.58  462.36  724.73  461.43  710.20  842.72
  884.13  841.89  746.81  467.09  726.52  466.22  712.30  843.89
  883.45  843.14  748.06  471.78  728.31  470.96  714.37  845.07
  882.82  844.40  749.33  476.41  730.09  475.65  716.44  846.26
  882.23  845.66  750.62  480.99  731.86  480.28  718.49  847.45
  881.68  846.93  751.93  485.52  733.63  484.86  720.52  848.65
  881.16  848.19  753.25  490.00  735.40  489.38  722.55  849.86
  880.68  849.46  754.58  494.43  737.16  493.84  724.56  851.07
